N,P_tail_p=0.01,P_tail_p=0.05,P_tail_p=0.1,P_tail_p=0.2,P_tail_p=0.3
131,1.055444424080676e-07,0.06462201397867762,0.7705071989095992,0.9999192412999791,0.9999999996216945
132,1.1409276190477158e-07,0.06746155723579361,0.7788895499319191,0.9999303391941663,0.9999999997139981
133,1.2324927334272928e-07,0.07038023530499293,0.7870520360093913,0.9999399452402824,0.9999999997839069
134,1.330512071628931e-07,0.0733784058256709,0.7949955285579557,0.9999482548606625,0.9999999998368214
135,1.4353769539621197e-07,0.07645636636826969,0.8027212156656724,0.9999554386615073,0.9999999998768487
136,1.5474984871310937e-07,0.07961435388497606,0.810230583534373,0.9999616454654372,0.9999999999071094
137,1.6673083524931798e-07,0.08285254425924982,0.8175253980353966,0.9999670049913703,0.999999999929973
138,1.7952596298442813e-07,0.08617105195383035,0.824607686444658,0.9999716302200495,0.9999999999472378
139,1.931827624535032e-07,0.08956992975663902,0.8314797194167693,0.9999756194797854,0.9999999999602672
140,2.0775107401060922e-07,0.09304916862377743,0.8381439932525145,0.9999790582835267,0.9999999999700949
141,2.2328313542541167e-07,0.09660869761861912,0.8446032125086984,0.9999820209452115,0.9999999999775034
142,2.39833673143508e-07,0.1002483839457875,0.8508602729942689,0.9999845720004638,0.9999999999830853
143,2.5745999576720635e-07,0.10396803307862845,0.8569182451916622,0.9999867674540749,0.9999999999872886
144,2.762220898677725e-07,0.10776738897860172,0.8627803581375607,0.9999886558743237,0.9999999999904522
145,2.961827175740339e-07,0.11164613440484306,0.8684499837926984,0.9999902793520302,0.9999999999928318
146,3.1740751849085314e-07,0.11560389131198934,0.8739306219259982,0.9999916743402818,0.9999999999946211
147,3.399651119506686e-07,0.11964022133420382,0.8792258855342011,0.9999928723890155,0.9999999999959657
148,3.6392720381694943e-07,0.12375462635319856,0.8843394868142394,0.9999939007870525,0.9999999999969755
149,3.893686943978736e-07,0.1279465491479136,0.8892752237019285,0.9999947831227597,0.9999999999977337
150,4.163677899127194e-07,0.13221537412339468,0.8940369669871019,0.9999955397732366,0.9999999999983026
151,4.4500611617870334e-07,0.13656042811629532,0.8986286480120906,0.9999961883307883,0.9999999999987292
152,4.7536883540644226e-07,0.14098098127432068,0.9030542469574521,0.9999967439744212,0.999999999999049
153,5.075447647717723e-07,0.14547624800684789,0.907317781716082,0.9999972197931942,0.9999999999992887
154,5.416264992064157e-07,0.1500453880038608,0.9114232973542871,0.9999976270674447,0.9999999999994682
155,5.777105355209144e-07,0.15468750732027003,0.9153748561560596,0.9999979755131922,0.9999999999996025
156,6.158974003023232e-07,0.1594016595226242,0.9191765282446613,0.9999982734943833,0.9999999999997031
157,6.562917795882584e-07,0.16418684689515062,0.9228323827737003,0.9999985282070726,0.9999999999997783
158,6.990026528708171e-07,0.16904202170203675,0.9263464796781439,0.9999987458391392,0.9999999999998346
159,7.441434286548088e-07,0.17396608750280418,0.9297228619741701,0.9999989317086878,0.9999999999998765
160,7.918320830135883e-07,0.17895790051760985,0.9329655485953872,0.9999990903838999,0.999999999999908
161,8.421913020306704e-07,0.18401627103927964,0.9360785277517556,0.9999992257867475,0.9999999999999314
162,8.953486260177002e-07,0.18913996488887785,0.9390657507965092,0.9999993412826864,0.9999999999999488
163,9.514365971741157e-07,0.19432770491159546,0.9419311265854898,0.9999994397581712,0.9999999999999619
164,1.0105929103554345e-06,0.19957817250975207,0.9446785163125714,0.9999995236876039,0.9999999999999716
165,1.072960566173009e-06,0.2048900092097048,0.9473117288042416,0.9999995951911206,0.9999999999999789
166,1.1386880280905842e-06,0.21026181825949575,0.9498345162559387,0.9999996560844381,0.9999999999999842
167,1.207929381075168e-06,0.2156921662540605,0.9522505703923716,0.9999997079218264,0.9999999999999883
168,1.2808444951328823e-06,0.2211795847848731,0.9545635190338103,0.9999997520331324,0.9999999999999913
169,1.3575991898440165e-06,0.22672257211093583,0.9567769230501744,0.9999997895556613,0.9999999999999936
170,1.438365403561015e-06,0.23231959484803688,0.9588942736846963,0.9999998214616103,0.9999999999999952
171,1.523321364493846e-06,0.23796908967330044,0.9609189902289578,0.9999998485816669,0.9999999999999964
